cavil,k{vP,8,gavel,g{vP,12
coon,kun,11,goon,gun,10
cool,kul,79,ghoul,gul,16
crate,kr1t,14,great,gr1t,0
carter,k#t@R,180,garter,g#t@R,29
cobble,kQbP,1,gobble,gQbP,63
curdle,k3dP,36,girdle,g3dP,10
class,kl#s,63,glass,gl#s,2595
cripes,kr2ps,1,gripes,gr2ps,2
croupy,krupI,4,groupie,grupI,7
calorie,k{l@rI,213,gallery,g{l@rI,666
crouch,kr6J,250,grouch,gr6J,0
Kremlin,krEmlIn,75,gremlin,grEmlIn,4
card,k#d,8,guard,g#d,329
cart,k#t,52,ghat,g#t,2
cape,k1p,292,gape,g1p,121
cane,k1n,27,gain,g1n,1567
carrot,k{r@t,144,garret,g{r@t,22
carry,k{rI,5582,gharry,g{rI,0
crumble,krVmbP,7,grumble,grVmbP,151
clamorous,kl{m@r@s,14,glamorous,gl{m@r@s,94
clad,kl{d,77,glad,gl{d,1147
coast,k5st,25,ghost,g5st,14
clean,klin,32,glean,glin,38
cage,k1_,35,gauge,g1_,66
curd,k3d,66,gird,g3d,29
cruel,kr9l,505,gruel,gr9l,22
collie,kQlI,7,golly,gQlI,0
croup,krup,21,group,grup,93
kale,k1l,44,gale,g1l,157
coley,k5lI,2,goalie,g5lI,4
cutter,kVt@R,59,gutter,gVt@R,14
cold,k5ld,65,gold,g5ld,1575
come up,kVmVp,0,gum up,gVmVp,0
cranny,kr{nI,16,granny,gr{nI,123
cad,k{d,13,gad,g{d,2
caff,k{f,2,gaffe,g{f,20
cab,k{b,201,gab,g{b,2
cat,k{t,1195,gat,g{t,7
cap,k{p,62,gap,g{p,753
cash,k{S,121,gash,g{S,14
cork,k$k,4,gawk,g$k,2
cord,k$d,17,gored,g$d,0
cause,k$z,3074,gauze,g$z,44
course,k$s,26,gorse,g$s,19
kaffir,k{f@R,11,gaffer,g{f@R,5
cob,kQb,38,gob,gQb,16
cod,kQd,2,god,gQd,878
con,kQn,57,gone,gQn,646
cosh,kQS,5,gosh,gQS,56
kill,kIl,3756,gill,gIl,74
coven,kVvH,14,govern,gVvH,340
cote,k5t,23,goat,g5t,506
kohl,k5l,27,goal,g5l,939
code,k5d,81,goad,g5d,41
camp,k{mp,25,gamp,g{mp,5
clamorously,kl{m@r@slI,2,glamorously,gl{m@r@slI,2
clue,klu,0,glue,glu,52
curl,k3l,273,girl,g3l,7856
classy,kl#sI,22,glassy,gl#sI,53
curly,k3lI,70,girlie,g3lI,20
coolish,kulIS,0,ghoulish,gulIS,10
cold fish,k5ldfIS,0,goldfish,g5ldfIS,44
chi,k2,39,guy,g2,3
Co.,k5,202,go,g5,51830
quay,ki,62,ghee,gi,4
coup,ku,150,goo,gu,12
candour,k{nd@R,55,gander,g{nd@R,3
creed,krid,104,greed,grid,152
caul,k$l,3,Gaul,g$l,3
craze,kr1z,35,graze,gr1z,300
crave,kr1v,90,grave,gr1v,0
crepe,kr1p,6,grape,gr1p,179
crane,kr1n,38,grain,gr1n,615
cater,k1t@R,249,gaiter,g1t@R,8
clamour,kl{m@R,59,glamour,gl{m@R,131
cable,k1bP,56,gable,g1bP,40
corps,k$R,344,gore,g$R,19
cuss,kVs,10,Gus,gVs,66
crow,kr5,92,grow,gr5,6112
kris,kris,5,Greece,gris,317
crammer,kr{m@R,0,grammar,gr{m@R,290
creek,krik,282,Greek,grik,683
cram,kr{m,189,gram,gr{m,137
kiddy,kIdI,25,giddy,gIdI,37
cards,k#dz,135,Guards,g#dz,92
craft,kr#ft,12,graft,gr#ft,39
crab,kr{b,0,grab,gr{b,600
cut,kVt,3415,gut,gVt,14
coatee,k5ti,2,goatee,g5ti,12
Cory,k$rI,2,gory,g$rI,27
crone,kr5n,22,grown,gr5n,130
crime,kr2m,0,grime,gr2m,8
crow over,kr55v@R,0,grow over,gr55v@R,0
crater,kr1t@R,128,grater,gr1t@R,5
cleaner,klin@R,202,gleaner,glin@R,14
k,k1,204,gay,g1,189
kilt,kIlt,34,guilt,gIlt,653
cull,kVl,49,gull,gVl,82
come,kVm,0,gum,gVm,28
