Num words:44910
Searching for: sIs
Num matches: 71

sis, sIs, 1
amanuensis, @m{njUEnsIs, 5
Francis, fr#nsIs, 387
Genesis, _En@sIs, 39
psychosis, s2k5sIs, 21
exegesis, EksI_isIs, 3
proboscis, pr5bQsIs, 2
axis, {ksIs, 201
lexis, lEksIs, 3
myxomatosis, mIks5m@t5sIs, 6
neurosis, nj9r5sIs, 72
diagnosis, d2@gn5sIs, 187
cirrhosis, sIr5sIs, 17
paralysis, p@r{lIsIs, 53
sclerosis, skl@r5sIs, 6
thesis, TisIs, 344
emphasis, Emf@sIs, 732
symbiosis, sImbI5sIs, 94
praxis, pr{ksIs, 2
arteriosclerosis, #t7rI5skl7r5sIs, 11
multiple sclerosis, mVltIpPskl@r5sIs, 0
synthesis, sInT@sIs, 74
crisis, kr2sIs, 1181
catharsis, k@T#sIs, 16
hypnosis, hIpn5sIs, 31
prosthesis, prQsTIsIs, 1
phthisis, T2sIs, 0
psychokinesis, s2k5k2nisIs, 3
parenthesis, p@rEnTIsIs, 14
archdiocese, #Jd2@sIs, 3
electrolysis, IlEktrQl@sIs, 6
prophylaxis, prQfIl{ksIs, 6
basis, b1sIs, 1499
ellipsis, IlIpsIs, 3
analysis, @n{l@sIs, 1177
periphrasis, p@rIfr@sIs, 1
metempsychosis, mEtEms2k5sIs, 1
meiosis, m25sIs, 0
parthenogenesis, p#TIn5_EnIsIs, 1
synopsis, sInQpsIs, 15
antithesis, {ntITIsIs, 116
hypothesis, h2pQTIsIs, 245
psoriasis, psQr2@sIs, 1
brucellosis, brusIl5sIs, 3
trichinosis, trIkIn5sIs, 3
sepsis, sEpsIs, 2
oasis, 51sIs, 53
photosynthesis, f5t5sInT@sIs, 16
nemesis, nEm@sIs, 22
mononucleosis, mQn5njuklI5sIs, 1
diocese, d2@sIs, 30
coronary thrombosis, kQr@n@rITrQmb5sIs, 0
psychoanalysis, s2k5@n{l@sIs, 63
metamorphosis, mEt@m$f@sIs, 45
catalysis, k@t{l@sIs, 2
prognosis, prQgn5sIs, 26
mimesis, mImisIs, 3
apotheosis, @pQTI5sIs, 24
infantile paralysis, Inf@nt2lp@r{lIsIs, 0
pneumoconiosis, njum5k5nI5sIs, 0
diaeresis, d2ErIsIs, 0
halitosis, h{lIt5sIs, 3
elephantiasis, ElIf@nt2@sIs, 3
psittacosis, sIt@k5sIs, 0
silicosis, sIlIk5sIs, 0
abscess, {bsIs, 21
osmosis, Qzm5sIs, 7
mitosis, m2t5sIs, 0
thrombosis, TrQmb5sIs, 8
asepsis, 1sEpsIs, 0
tuberculosis, tjub3kjUl5sIs, 48
