Num words:44910
t onset: 1503
d onset: 2420

tally,t{lI,18,dally,d{lI,29
tipper,tIp@R,1,dipper,dIp@R,15
tier,t7R,82,deer,d7R,210
tune,tjun,194,dune,djun,87
tint,tInt,42,dint,dInt,13
tensely,tEnslI,29,densely,dEnslI,43
tongue,tVN,715,dung,dVN,111
tale,t1l,572,dale,d1l,65
tame,t1m,69,Dame,d1m,113
tun,tVn,5,dun,dVn,5
tuck,tVk,369,duck,dVk,0
tug,tVg,192,dug,dVg,7
tub,tVb,167,dub,dVb,58
togs,tQgz,7,dogs,dQgz,0
teal,til,8,deal,dil,1871
teem,tim,29,deem,dim,105
tizzy,tIzI,4,dizzy,dIzI,98
tab,t{b,55,dab,d{b,81
time,t2m,86,dime,d2m,82
tine,t2n,58,dyne,d2n,10
tech,tEk,73,deck,dEk,33
tell,tEl,19040,dell,dEl,32
ten,tEn,4054,den,dEn,179
ted,tEd,250,dead,dEd,0
toddle,tQdP,23,doddle,dQdP,1
tough,tVf,734,duff,dVf,25
teasel,tizP,5,diesel,dizP,140
taunt,t$nt,37,daunt,d$nt,70
Turk,t3k,127,dirk,d3k,46
tie down,t2d6n,0,die down,d2d6n,0
tomb,tum,337,doom,dum,189
toff,tQf,3,doff,dQf,17
tangle,t{NgP,155,dangle,d{NgP,175
tot,tQt,33,dot,dQt,113
toss,tQs,357,doss,dQs,2
tank,t{Nk,703,dank,d{Nk,30
tart,t#t,12,dart,d#t,151
tarn,t#n,10,darn,d#n,5
topi,t5pI,3,dopey,d5pI,13
two,tu,24552,do,du,80717
ti,ti,3,d,di,1878
tyre,t2@R,198,dyer,d2@R,13
Tao,t6,3,dhow,d6,8
tow,t5,67,dough,d5,184
tie,t2,1100,dye,d2,141
touchy,tVJI,53,duchy,dVJI,23
tusk,tVsk,33,dusk,dVsk,268
tear,t8R,1101,dare,d8R,861
tessellate,tEs@l1t,0,desolate,dEs@l1t,85
tyke,t2k,3,dike,d2k,1
tour,t9R,100,dour,d9R,31
T-bone,tib5n,3,debone,dib5n,0
titty,tItI,6,ditty,dItI,11
ticker,tIk@R,9,dicker,dIk@R,0
tensity,tEns@tI,6,density,dEns@tI,271
Tory,t$rI,300,dory,d$rI,8
tummy,tVmI,200,dummy,dVmI,178
tingle,tINgP,57,dingle,dINgP,6
towel,t6@l,3,dowel,d6@l,8
tower,t6@R,83,dower,d6@R,0
teabag,tib{g,7,debag,dib{g,1
toil,t4l,58,Dail,d4l,2
touch,tVJ,1967,Dutch,dVJ,103
tearing,t8rIN,0,daring,d8rIN,94
tux,tVks,5,ducks,dVks,0
tope,t5p,64,dope,d5p,19
toll,t5l,43,dole,d5l,115
tome,t5m,17,dome,d5m,236
tense,tEns,248,dense,dEns,280
tent,tEnt,785,dent,dEnt,34
ptomaine,t5m1n,5,domain,d5m1n,206
tenseness,tEnsnIs,14,denseness,dEnsnIs,0
tip,tIp,292,dip,dIp,300
till,tIl,686,dill,dIl,7
Tim,tIm,1227,dim,dIm,296
tin,tIn,93,din,dIn,3
tick,tIk,172,dick,dIk,274
tig,tIg,1,dig,dIg,716
tor,t$R,71,door,d$R,6924
tamp,t{mp,12,damp,d{mp,464
tout,t6t,12,doubt,d6t,612
town,t6n,4005,down,d6n,447

numMinPairs: 82
